Country Name,Country Code,Date,Thevalue,theid
Antigua and Barbuda,ATG,1988-01-01,1,1004
Antigua and Barbuda,ATG,1989-01-01,0,1005
Antigua and Barbuda,ATG,1990-01-01,0,1006
Antigua and Barbuda,ATG,1991-01-01,0,1007
Antigua and Barbuda,ATG,1992-01-01,0,1008
Antigua and Barbuda,ATG,1993-01-01,0,1009
Antigua and Barbuda,ATG,1994-01-01,0,1010
Antigua and Barbuda,ATG,1995-01-01,1,1011
Antigua and Barbuda,ATG,1996-01-01,0,1012
Antigua and Barbuda,ATG,1997-01-01,0,1013
Antigua and Barbuda,ATG,1998-01-01,0,1014
Antigua and Barbuda,ATG,1999-01-01,0,1015
Antigua and Barbuda,ATG,2000-01-01,0,1016
Antigua and Barbuda,ATG,2001-01-01,0,1017
Antigua and Barbuda,ATG,2002-01-01,0,1018
Antigua and Barbuda,ATG,2003-01-01,0,1019
Antigua and Barbuda,ATG,2004-01-01,0,1020
Antigua and Barbuda,ATG,2005-01-01,0.5,1021
Antigua and Barbuda,ATG,2006-01-01,0.3,1022
Antigua and Barbuda,ATG,2007-01-01,0.8,1023
Antigua and Barbuda,ATG,2008-01-01,0.5,1024
Antigua and Barbuda,ATG,2009-01-01,0,1025
Antigua and Barbuda,ATG,2010-01-01,0.1,1026
Antigua and Barbuda,ATG,2011-01-01,0.2,1027
Argentina,ARG,1981-01-01,892,1028
Argentina,ARG,1985-01-01,1190,1029
Argentina,ARG,1986-01-01,1459,1030
Argentina,ARG,1987-01-01,1475,1031
Argentina,ARG,1988-01-01,1423,1032
Argentina,ARG,1989-01-01,1518,1033
Argentina,ARG,1990-01-01,1627,1034
Argentina,ARG,1991-01-01,1499,1035
Argentina,ARG,1992-01-01,1526,1036
Argentina,ARG,1993-01-01,1585,1037
Argentina,ARG,1994-01-01,1747,1038
Argentina,ARG,1995-01-01,"1,967.2",1039
Argentina,ARG,1996-01-01,"2,287.2",1040
Argentina,ARG,1997-01-01,"2,450.8",1041
Argentina,ARG,1998-01-01,"2,550.7",1042
Argentina,ARG,1999-01-01,"2,635.8",1043
Argentina,ARG,2000-01-01,"2,846.1",1044
Argentina,ARG,2001-01-01,"2,930.7",1045
Argentina,ARG,2002-01-01,"3,178.1",1046
Argentina,ARG,2003-01-01,"2,919.8",1047
Argentina,ARG,2004-01-01,"2,981.6",1048
Argentina,ARG,2005-01-01,"3,058.4",1049
Argentina,ARG,2006-01-01,3264,1050
Argentina,ARG,2007-01-01,"3,364.3",1051
Argentina,ARG,2008-01-01,"3,567.1",1052
Argentina,ARG,2009-01-01,"3,655.2",1053
Argentina,ARG,2010-01-01,"3,767.6",1054
Argentina,ARG,2011-01-01,"3,862.8",1055
Armenia,ARM,1986-01-01,0,1056
Armenia,ARM,1987-01-01,0,1057
Armenia,ARM,1992-01-01,21,1058
Armenia,ARM,1993-01-01,165,1059
Armenia,ARM,1994-01-01,178,1060
Armenia,ARM,1995-01-01,166,1061
Armenia,ARM,1996-01-01,197.9,1062
Armenia,ARM,1997-01-01,172.3,1063
Armenia,ARM,1998-01-01,165.9,1064
Armenia,ARM,1999-01-01,163.9,1065
Armenia,ARM,2000-01-01,175.4,1066
Armenia,ARM,2001-01-01,156.7,1067
Armenia,ARM,2002-01-01,172.8,1068
Armenia,ARM,2003-01-01,184.1,1069
Armenia,ARM,2004-01-01,191.2,1070
Armenia,ARM,2005-01-01,179.9,1071
Armenia,ARM,2006-01-01,179.5,1072
Armenia,ARM,2007-01-01,174.8,1073
Armenia,ARM,2008-01-01,190.7,1074
Armenia,ARM,2009-01-01,164.2,1075
Armenia,ARM,2010-01-01,183.4,1076
Armenia,ARM,2011-01-01,184.6,1077
Australia,AUS,1981-01-01,8138,1078
Australia,AUS,1985-01-01,8247,1079
Australia,AUS,1986-01-01,10121,1080
Australia,AUS,1987-01-01,9831,1081
Australia,AUS,1988-01-01,9896,1082
Australia,AUS,1989-01-01,10730,1083
Australia,AUS,1990-01-01,10664,1084
Australia,AUS,1991-01-01,10742,1085
Australia,AUS,1992-01-01,11452,1086
Australia,AUS,1993-01-01,11929,1087
Australia,AUS,1994-01-01,12695,1088
Australia,AUS,1995-01-01,"13,125.4",1089
Australia,AUS,1996-01-01,"13,623.3",1090
Australia,AUS,1997-01-01,"13,815.7",1091
Australia,AUS,1998-01-01,"14,307.4",1092
Australia,AUS,1999-01-01,"14,341.1",1093
Australia,AUS,2000-01-01,"14,588.6",1094
Australia,AUS,2001-01-01,14484,1095
Australia,AUS,2002-01-01,"14,255.2",1096
Australia,AUS,2003-01-01,"14,933.6",1097
Australia,AUS,2004-01-01,"15,588.9",1098
Australia,AUS,2005-01-01,"15,974.4",1099
Australia,AUS,2006-01-01,"17,217.1",1100
Australia,AUS,2007-01-01,"17,833.8",1101
Australia,AUS,2008-01-01,"18,776.5",1102
Australia,AUS,2009-01-01,18932,1103
Australia,AUS,2010-01-01,"19,516.7",1104
Australia,AUS,2011-01-01,"20,602.6",1105
Austria,AUT,1981-01-01,2160,1106
Austria,AUT,1985-01-01,2179,1107
Austria,AUT,1986-01-01,2342,1108
Austria,AUT,1987-01-01,2271,1109
Austria,AUT,1988-01-01,2241,1110
Austria,AUT,1989-01-01,2675,1111
Austria,AUT,1990-01-01,2690,1112
Austria,AUT,1991-01-01,2756,1113
Austria,AUT,1992-01-01,3047,1114
Austria,AUT,1993-01-01,3051,1115
Austria,AUT,1994-01-01,3177,1116
Austria,AUT,1995-01-01,3425,1117
Austria,AUT,1996-01-01,"3,646.2",1118
Austria,AUT,1997-01-01,"3,947.4",1119
Austria,AUT,1998-01-01,4074,1120
Austria,AUT,1999-01-01,"4,157.8",1121
Austria,AUT,2000-01-01,"4,257.1",1122
Austria,AUT,2001-01-01,"4,479.5",1123
Austria,AUT,2002-01-01,4460,1124
Austria,AUT,2003-01-01,"4,692.1",1125
Austria,AUT,2004-01-01,4716,1126
Austria,AUT,2005-01-01,"4,567.9",1127
Austria,AUT,2006-01-01,"4,614.3",1128
Austria,AUT,2007-01-01,"4,827.2",1129
Austria,AUT,2008-01-01,"4,815.6",1130
Austria,AUT,2009-01-01,"4,833.2",1131
Austria,AUT,2010-01-01,"4,922.8",1132
Austria,AUT,2011-01-01,"5,102.5",1133
Azerbaijan,AZE,1986-01-01,0,1134
Azerbaijan,AZE,1987-01-01,0,1135
Azerbaijan,AZE,1992-01-01,15,1136
Azerbaijan,AZE,1993-01-01,197,1137
Azerbaijan,AZE,1994-01-01,189,1138
Azerbaijan,AZE,1995-01-01,139.1,1139
Azerbaijan,AZE,1996-01-01,118.2,1140
Azerbaijan,AZE,1997-01-01,85.8,1141
Azerbaijan,AZE,1998-01-01,92,1142
Azerbaijan,AZE,1999-01-01,65.7,1143
Azerbaijan,AZE,2000-01-01,78.6,1144
Azerbaijan,AZE,2001-01-01,67.9,1145
Azerbaijan,AZE,2002-01-01,78.1,1146
Azerbaijan,AZE,2003-01-01,110.3,1147
Azerbaijan,AZE,2004-01-01,110.1,1148
Azerbaijan,AZE,2005-01-01,115.9,1149
Azerbaijan,AZE,2006-01-01,116.4,1150
Azerbaijan,AZE,2007-01-01,96.8,1151
Azerbaijan,AZE,2008-01-01,100.2,1152
Azerbaijan,AZE,2009-01-01,150.9,1153
Azerbaijan,AZE,2010-01-01,144.7,1154
Azerbaijan,AZE,2011-01-01,148.7,1155
"Bahamas, The",BHS,1986-01-01,2,1156
"Bahamas, The",BHS,1987-01-01,2,1157
"Bahamas, The",BHS,1988-01-01,4,1158
"Bahamas, The",BHS,1989-01-01,3,1159
"Bahamas, The",BHS,1990-01-01,1,1160
"Bahamas, The",BHS,1991-01-01,0,1161
"Bahamas, The",BHS,1992-01-01,2,1162
"Bahamas, The",BHS,1993-01-01,1,1163
"Bahamas, The",BHS,1994-01-01,1,1164
"Bahamas, The",BHS,1995-01-01,1.3,1165
"Bahamas, The",BHS,1996-01-01,1.7,1166
"Bahamas, The",BHS,1997-01-01,0.8,1167
"Bahamas, The",BHS,1998-01-01,1.4,1168
"Bahamas, The",BHS,1999-01-01,1.2,1169
"Bahamas, The",BHS,2000-01-01,2.5,1170
"Bahamas, The",BHS,2001-01-01,3.1,1171
"Bahamas, The",BHS,2002-01-01,2,1172
"Bahamas, The",BHS,2003-01-01,2.8,1173
"Bahamas, The",BHS,2004-01-01,1.4,1174
"Bahamas, The",BHS,2005-01-01,1.6,1175
"Bahamas, The",BHS,2006-01-01,1.3,1176
"Bahamas, The",BHS,2007-01-01,4.6,1177
"Bahamas, The",BHS,2008-01-01,3.1,1178
"Bahamas, The",BHS,2009-01-01,2.5,1179
"Bahamas, The",BHS,2010-01-01,2.8,1180
"Bahamas, The",BHS,2011-01-01,2.5,1181
Bahrain,BHR,1986-01-01,24,1182
Bahrain,BHR,1987-01-01,19,1183
